State,Crop,Season,Sowing_Month,Harvest_Month,Growth_Stage,Soil_Type,Water_Requirement,Fertilizer_Used,Pesticide_Used,Organic_Practice,Major_Disease
Gujarat,Cotton,Rabi,November,February,Fruiting,Deep sandy loam well-drained,10-12 irrigations in non-rainy season,Single Super Phosphate 375kg/ha for root growth,Acetamiprid 20SP for whitefly and jassids,Neem oil 3% spray for sucking pests,Cotton leaf curl virus CLCuV
Odisha,Oilseeds,Rabi,October,February,Flowering,Well-drained black soil,Critical at flowering,Sulphur 30kg/ha,Quinalphos 25EC,Neem cake 500kg/ha,White rust
Chhattisgarh,Wheat,Rabi,November,February,Maturity,Deep alluvial soil of Indo-Gangetic plains,Sprinkler irrigation for water efficiency,Muriate of Potash 40kg/ha for grain quality,Chlorpyrifos 20EC 2ml/L for aphid control,Compost application 5 tons/ha,Black rust in warmer conditions
Andhra Pradesh,Tobacco,Kharif,June,November,Vegetative,Sandy loam,Moderate irrigation,High potash requirement,Imidacloprid for aphids,Crop rotation,Damping off
Odisha,Rice,Kharif,July,October,Vegetative,Red laterite soil with adequate irrigation,Alternate wetting and drying to save 25-30% water,Zinc sulphate 25kg/ha in deficient soils,Carbofuran 3G granules for gall midge control,Crop rotation with pulses to fix nitrogen,Tungro virus spread by leafhoppers
Haryana,Barley,Zaid,February,May,Flowering,Well-drained loam,2-3 irrigations,Urea 60kg/ha,Propiconazole for leaf rust,Crop rotation,Stripe rust
Nagaland,Millet,Zaid,February,May,Germination,Sandy loam,Rainfed,DAP 60kg/ha,Neem oil,Traditional farming,Blast
Odisha,Oilseeds,Zaid,March,June,Fruiting,Sandy loam,Low to moderate water,Sulphur 30kg/ha,Quinalphos 25EC,Neem cake 500kg/ha,White rust
Assam,Tea,Rabi,October,February,Fruiting,Acidic loam soil pH 4.5-5.5,High rainfall 200-300cm,High nitrogen requirement,Copper fungicides,Vermicompost,Die back
West Bengal,Tea,Zaid,February,May,Flowering,Well-drained hill soil,High rainfall 200-300cm,Ammonium sulphate,Copper fungicides,Mulching with pruned leaves,Red rust
Karnataka,Ragi,Zaid,March,May,Flowering,Loamy soil,Rainfed,DAP 60kg/ha,Neem oil,Traditional crop management,Blast disease
Tamil Nadu,Rice,Kharif,June,November,Vegetative,Clayey loam soil with good water retention,Flooded fields during growing season with 5-10cm standing water,Urea 46% N 120kg/ha in split doses,Tricyclazole 75WP for blast disease,Neem cake 200kg/ha as soil amendment,Sheath blight in humid conditions
Kerala,Coffee,Rabi,November,February,Fruiting,Forest loam,Moderate rainfall 150-200cm,NPK 20-20-20,Chlorpyrifos for white stem borer,Shade management,Coffee rust
Gujarat,Sugarcane,Zaid,March,June,Germination,Alluvial soil of river valleys,Critical at tillering and grand growth phase,DAP/SSP 200kg/ha phosphorus,Fipronil 0.3G for early shoot borer,Biofertilizers Azospirillum and PSB,Red rot most destructive disease
Assam,Vegetables,Kharif,July,October,Flowering,Well-drained loamy soil,Moderate frequent irrigation,Compost and FYM 20 tons/ha,Spinosad for caterpillars,Vermicompost,Leaf curl
Kerala,Spices,Rabi,November,February,Flowering,Laterite soil,Moderate rainfall,Organic manure preferred,Neem-based sprays,Mulching,Leaf spot
Puducherry,Rice,Kharif,June,October,Sowing,Black cotton soil in deltaic regions,Flooded fields during growing season with 5-10cm standing water,Muriate of Potash 0-0-60 60kg/ha,Chlorpyrifos 20EC for stem borer and leaf folder,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Tungro virus spread by leafhoppers
West Bengal,Rice,Rabi,October,February,Vegetative,Clayey loam soil with good water retention,High water requirement 150-200cm annually,Zinc sulphate 25kg/ha in deficient soils,Cartap hydrochloride 50SP for BPH and WBPH,Green manuring with Dhaincha or Sesbania for nitrogen,Bacterial leaf blight in warm weather
West Bengal,Rice,Zaid,February,June,Sowing,Alluvial soil rich in organic matter,Drip irrigation in System of Rice Intensification (SRI),DAP 18-46-0 100kg/ha as basal,Tricyclazole 75WP for blast disease,Crop rotation with pulses to fix nitrogen,Sheath blight in humid conditions
Gujarat,Sugarcane,Rabi,October,February,Germination,Deep rich loamy soil 1-1.5m depth,High requirement 200-250cm annually,"Micronutrients Fe, Zn, Mn for healthy growth",Chlorpyrifos 20EC for termite and root borer,Biofertilizers Azospirillum and PSB,Yellow leaf disease phytoplasma
Bihar,Wheat,Kharif,July,September,Germination,Clay loam in irrigated areas,Avoid water logging which causes root damage,Urea 130kg/ha for nitrogen supply,Propiconazole 25EC for rust diseases,FYM 8-10 tons/ha incorporated before sowing,Leaf blight complex
Jharkhand,Wheat,Zaid,February,May,Germination,Sandy loam with good organic content,Sprinkler irrigation for water efficiency,NPK 12-32-16 complete mixture,Quinalphos 25EC for termite prevention,FYM 8-10 tons/ha incorporated before sowing,Powdery mildew in dense canopy
Madhya Pradesh,Soybean,Zaid,March,June,Fruiting,Black cotton soil ideal,Moderate requirement 60-90cm,Sulphur 20-30kg/ha important,Chlorpyrifos 20EC broad spectrum,Crop rotation with cereals,Rust Phakopsora pachyrhizi major disease
Odisha,Rice,Kharif,June,September,Maturity,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,Muriate of Potash 0-0-60 60kg/ha,Imidacloprid 17.8SL systemic insecticide,Green manuring with Dhaincha or Sesbania for nitrogen,Bacterial leaf blight in warm weather
Tripura,Tea,Kharif,June,September,Fruiting,Well-drained hill soil,High rainfall 200-300cm,Ammonium sulphate,Imidacloprid for tea mosquito bug,Vermicompost,Die back
Odisha,Rice,Kharif,June,October,Sowing,Black cotton soil in deltaic regions,High water requirement 150-200cm annually,NPK 20-20-0 complex mixture,Imidacloprid 17.8SL systemic insecticide,Vermicompost 5 tons/ha for soil health,Brown spot causing yield reduction
Uttar Pradesh,Mustard,Zaid,February,May,Germination,Alluvial soil of plains,Low to moderate 30-45cm,Urea 120kg/ha split application,Dimethoate 30EC systemic for aphids,Neem oil 3% for aphid control,Stem rot at base
Nagaland,Maize,Kharif,June,September,Fruiting,Black soil with proper drainage facilities,Critical at tasseling and silking stages,Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 70WG for aphids and leafhoppers,Crop rotation with legumes,Downy mildew systemic infection
Uttarakhand,Rice,Rabi,November,February,Maturity,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,DAP 18-46-0 100kg/ha as basal,Cartap hydrochloride 50SP for BPH and WBPH,Neem cake 200kg/ha as soil amendment,Brown spot causing yield reduction
Tamil Nadu,Banana,Kharif,July,November,Fruiting,Clay loam with good drainage,Frequent irrigation every 5-7 days,"Micronutrients Zn, B for bunch",Imidacloprid 17.8SL for aphids vectors,Vermicompost 5kg/plant beneficial,Sigatoka leaf spot yellow and black
Meghalaya,Rice,Zaid,March,June,Vegetative,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,Muriate of Potash 0-0-60 60kg/ha,Imidacloprid 17.8SL systemic insecticide,Vermicompost 5 tons/ha for soil health,Blast disease affecting leaves and panicles
Gujarat,Tobacco,Kharif,June,October,Sowing,Sandy loam,Moderate irrigation,High potash requirement,Imidacloprid for aphids,Crop rotation,Mosaic virus
Kerala,Coconut,Kharif,July,November,Sowing,Red loam with good drainage pH 5.5-7,High requirement 130-200cm,NPK 500:320:120 g/palm/year,Neem oil for black headed caterpillar,Neem cake 2kg/palm,Bud rot fungal disease
Kerala,Rubber,Rabi,October,March,Vegetative,Well-drained loam,High rainfall 200-300cm,NPK 12-12-12,Copper fungicides,Cover crops,Abnormal leaf fall
Puducherry,Vegetables,Kharif,July,September,Sowing,Well-drained loamy soil,Moderate frequent irrigation,NPK 100:60:60 kg/ha,Neem oil for aphids,Vermicompost,Powdery mildew
Odisha,Oilseeds,Zaid,February,May,Maturity,Sandy loam,Critical at flowering,DAP 120kg/ha,Dimethoate 30EC,Crop rotation,Alternaria blight
West Bengal,Vegetables,Rabi,October,March,Maturity,Well-drained loamy soil,Drip irrigation preferred,NPK 100:60:60 kg/ha,Spinosad for caterpillars,Crop rotation,Powdery mildew
Punjab,Cotton,Kharif,July,October,Fruiting,Black cotton soil (Regur) ideal for cotton,10-12 irrigations in non-rainy season,Boron 10kg/ha and Zinc 25kg/ha micronutrients,Acetamiprid 20SP for whitefly and jassids,Pheromone traps for bollworm monitoring,Alternaria leaf spot common disease
Bihar,Wheat,Zaid,March,June,Maturity,Deep alluvial soil of Indo-Gangetic plains,Moderate requirement 45-65cm through season,NPK 12-32-16 complete mixture,Mancozeb 75WP broad spectrum fungicide,Compost application 5 tons/ha,Yellow rust in cool humid weather
Manipur,Maize,Rabi,November,March,Sowing,Well-drained loamy soil pH 5.5-7.5,Moderate requirement 50-75cm,Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 70WG for aphids and leafhoppers,Neem cake 200kg/ha soil application,Downy mildew systemic infection
Assam,Rice,Kharif,June,November,Flowering,Clayey loam soil with good water retention,Drip irrigation in System of Rice Intensification (SRI),Muriate of Potash 0-0-60 60kg/ha,Tricyclazole 75WP for blast disease,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Brown spot causing yield reduction
Rajasthan,Bajra,Kharif,June,September,Germination,Sandy soil,Rainfed crop,Urea 60kg/ha,Neem oil for aphids,Green manuring,Downy mildew
Uttarakhand,Fruits,Zaid,March,May,Flowering,Well-drained loamy soil,Mulching to retain moisture,FYM 20-25 kg/tree,Chlorpyrifos for fruit flies,Pruning,Fruit rot
Chhattisgarh,Oilseeds,Zaid,March,June,Germination,Well-drained black soil,Critical at flowering,DAP 120kg/ha,Quinalphos 25EC,Crop rotation,Alternaria blight
Madhya Pradesh,Rice,Kharif,June,November,Fruiting,Clayey loam soil with good water retention,Flooded fields during growing season with 5-10cm standing water,Muriate of Potash 0-0-60 60kg/ha,Cartap hydrochloride 50SP for BPH and WBPH,Vermicompost 5 tons/ha for soil health,Tungro virus spread by leafhoppers
Goa,Vegetables,Rabi,October,February,Maturity,Well-drained loamy soil,Drip irrigation preferred,NPK 100:60:60 kg/ha,Neem oil for aphids,Vermicompost,Powdery mildew
Uttarakhand,Wheat,Rabi,October,February,Sowing,Deep alluvial soil of Indo-Gangetic plains,Moderate requirement 45-65cm through season,NPK 12-32-16 complete mixture,Chlorpyrifos 20EC 2ml/L for aphid control,FYM 8-10 tons/ha incorporated before sowing,Karnal bunt quarantine disease
Gujarat,Groundnut,Zaid,March,May,Maturity,Well-drained alluvial soil pH 6-7,Avoid excess moisture causing diseases,Rhizobium culture seed treatment,Chlorpyrifos 20EC for white grub,Rhizobium culture inoculation mandatory,Tikka disease early and late leaf spot
Bihar,Rice,Zaid,March,June,Sowing,Black cotton soil in deltaic regions,Flooded fields during growing season with 5-10cm standing water,Muriate of Potash 0-0-60 60kg/ha,Carbofuran 3G granules for gall midge control,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Bacterial leaf blight in warm weather
Chhattisgarh,Gram,Rabi,October,March,Flowering,Well-drained loamy soil,Low water requirement,Rhizobium culture,Quinalphos for pod borer,FYM 5 tons/ha,Ascochyta blight
West Bengal,Jute,Rabi,November,February,Fruiting,Loamy soil with good drainage,Moist soil during growth,Potash 40kg/ha,Neem-based sprays,Green manuring,Anthracnose
Mizoram,Orange,Kharif,July,November,Flowering,Alluvial soil,Avoid waterlogging,FYM 20kg/tree,Imidacloprid for citrus psylla,Pruning and mulching,Citrus canker
Tripura,Rubber,Rabi,November,February,Maturity,Well-drained loam,High rainfall 200-300cm,NPK 12-12-12,Copper fungicides,Mulching,Abnormal leaf fall
Odisha,Rice,Rabi,November,February,Germination,Black cotton soil in deltaic regions,Flooded fields during growing season with 5-10cm standing water,Muriate of Potash 0-0-60 60kg/ha,Imidacloprid 17.8SL systemic insecticide,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Brown spot causing yield reduction
Nagaland,Oilseeds,Kharif,July,October,Germination,Sandy loam,Critical at flowering,Sulphur 30kg/ha,Dimethoate 30EC,Crop rotation,White rust
Uttar Pradesh,Potato,Rabi,October,March,Flowering,Sandy loam well-drained friable,Critical at tuber initiation and bulking,DAP 130kg/ha at planting,Chlorpyrifos 20EC for cutworm,Trichoderma viride seed treatment,Leaf roll virus aphid transmitted
Jammu and Kashmir,Wheat,Rabi,November,March,Flowering,Clay loam in irrigated areas,Sprinkler irrigation for water efficiency,Urea 130kg/ha for nitrogen supply,Chlorpyrifos 20EC 2ml/L for aphid control,Compost application 5 tons/ha,Loose smut seed-borne disease
Odisha,Rice,Kharif,June,November,Germination,Black cotton soil in deltaic regions,High water requirement 150-200cm annually,Urea 46% N 120kg/ha in split doses,Tricyclazole 75WP for blast disease,Vermicompost 5 tons/ha for soil health,False smut during flowering stage
Tamil Nadu,Cotton,Kharif,July,October,Germination,Clay loam pH 6-8,Drip irrigation most efficient method,Boron 10kg/ha and Zinc 25kg/ha micronutrients,Chlorpyrifos 20EC broad spectrum,Pheromone traps for bollworm monitoring,Wilt disease causing wilting and death
Manipur,Rice,Rabi,November,February,Sowing,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),Muriate of Potash 0-0-60 60kg/ha,Carbofuran 3G granules for gall midge control,Green manuring with Dhaincha or Sesbania for nitrogen,Blast disease affecting leaves and panicles
Haryana,Wheat,Rabi,October,February,Vegetative,Deep alluvial soil of Indo-Gangetic plains,Sprinkler irrigation for water efficiency,Zinc sulphate 25kg/ha in deficient alkaline soils,Mancozeb 75WP broad spectrum fungicide,FYM 8-10 tons/ha incorporated before sowing,Loose smut seed-borne disease
Jammu and Kashmir,Fruits,Rabi,November,March,Flowering,Red loam and alluvial soil,Mulching to retain moisture,NPK 70:35:70 g/tree,Neem oil,Pruning,Anthracnose
Telangana,Maize,Kharif,July,November,Sowing,Sandy loam with good aeration,Avoid water stress during grain filling,Urea 250kg/ha split application,Carbofuran 3G at whorl stage,Trichoderma viride for disease control,Downy mildew systemic infection
Maharashtra,Onion,Zaid,February,June,Fruiting,Red loam with good structure,Drip irrigation ideal for water efficiency,Sulphur 30-40kg/ha for pungency,Mancozeb 75WP for purple blotch prevention,FYM 20-25 tons/ha heavy dose,Downy mildew in humid weather
Bihar,Maize,Kharif,June,September,Sowing,Alluvial soil of river basins,4-5 irrigations through growing season,NPK 20-20-0 at planting,Carbofuran 3G at whorl stage,Trichoderma viride for disease control,Stalk rot weakening stems
Uttarakhand,Wheat,Zaid,March,June,Germination,Well-drained loamy soil pH 6-7.5,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",Zinc sulphate 25kg/ha in deficient alkaline soils,Tebuconazole 2DS for Karnal bunt,FYM 8-10 tons/ha incorporated before sowing,Loose smut seed-borne disease
Haryana,Mustard,Kharif,June,October,Flowering,Clay loam with good drainage,Avoid excess moisture causing lodging,Urea 120kg/ha split application,Dimethoate 30EC systemic for aphids,Crop rotation with cereals,Sclerotinia rot stem canker
Tamil Nadu,Sugarcane,Kharif,July,October,Flowering,Deep rich loamy soil 1-1.5m depth,Frequent irrigation every 7-10 days in summer,High nitrogen requirement Urea 300kg/ha split,Monocrotophos 36SL for top borer,Compost 25 tons/ha for soil enrichment,Red rot most destructive disease
Telangana,Cotton,Zaid,February,June,Flowering,Clay loam pH 6-8,Critical at flowering and boll formation stages,Muriate of Potash 60kg/ha for fiber quality,Chlorpyrifos 20EC broad spectrum,Bt cotton varieties for bollworm resistance,Grey mildew in humid conditions
Goa,Coconut,Rabi,November,February,Sowing,Laterite soil with manuring,Drip irrigation efficient,Micronutrients B and Mg,Imidacloprid for mite control,Green manuring with legumes,Stem bleeding disease
Andhra Pradesh,Cotton,Rabi,November,February,Flowering,Black cotton soil (Regur) ideal for cotton,10-12 irrigations in non-rainy season,Urea in 3-4 split doses total 150kg/ha,Thiamethoxam 25WG systemic insecticide,Intercropping with pulses or marigold,Grey mildew in humid conditions
Karnataka,Maize,Kharif,June,November,Sowing,Alluvial soil of river basins,Critical at tasseling and silking stages,DAP 150kg/ha at basal dose,Imidacloprid 70WG for aphids and leafhoppers,Crop rotation with legumes,Stalk rot weakening stems
Rajasthan,Wheat,Rabi,October,February,Sowing,Sandy loam with good organic content,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",Zinc sulphate 25kg/ha in deficient alkaline soils,Chlorpyrifos 20EC 2ml/L for aphid control,Azotobacter biofertilizer for N fixation,Black rust in warmer conditions
Tamil Nadu,Cotton,Rabi,November,March,Fruiting,Deep sandy loam well-drained,Moderate requirement 70-90cm per season,Urea in 3-4 split doses total 150kg/ha,Acetamiprid 20SP for whitefly and jassids,Bt cotton varieties for bollworm resistance,Grey mildew in humid conditions
Telangana,Cotton,Kharif,July,October,Vegetative,Clay loam pH 6-8,Moderate requirement 70-90cm per season,Single Super Phosphate 375kg/ha for root growth,Profenofos 50EC for sucking pests,Intercropping with pulses or marigold,Alternaria leaf spot common disease
Nagaland,Rice,Kharif,June,November,Germination,Alluvial soil rich in organic matter,Drip irrigation in System of Rice Intensification (SRI),Urea 46% N 120kg/ha in split doses,Chlorpyrifos 20EC for stem borer and leaf folder,Neem cake 200kg/ha as soil amendment,False smut during flowering stage
Puducherry,Groundnut,Zaid,February,May,Sowing,Light black soil well-drained,Critical at pegging and pod formation,Rhizobium culture seed treatment,Imidacloprid 17.8SL for aphids and thrips,FYM 5-7 tons/ha before sowing,Stem rot Sclerotium rolfsii
West Bengal,Rice,Zaid,March,May,Flowering,Alluvial soil rich in organic matter,Alternate wetting and drying to save 25-30% water,Urea 46% N 120kg/ha in split doses,Imidacloprid 17.8SL systemic insecticide,Crop rotation with pulses to fix nitrogen,Bacterial leaf blight in warm weather
Sikkim,Cardamom,Kharif,June,November,Maturity,Forest loam soil,High rainfall crop,NPK 75:75:150,Neem oil,Mulching with leaf litter,Capsule rot
Uttarakhand,Fruits,Rabi,November,February,Maturity,Well-drained loamy soil,Mulching to retain moisture,FYM 20-25 kg/tree,Chlorpyrifos for fruit flies,Organic mulching,Powdery mildew
Jharkhand,Maize,Rabi,November,March,Flowering,Alluvial soil of river basins,Avoid water stress during grain filling,NPK 20-20-0 at planting,Carbofuran 3G at whorl stage,Neem cake 200kg/ha soil application,Downy mildew systemic infection
Punjab,Wheat,Kharif,June,October,Flowering,Well-drained loamy soil pH 6-7.5,Moderate requirement 45-65cm through season,DAP 120kg/ha at sowing time,Mancozeb 75WP broad spectrum fungicide,Crop rotation with legumes for nitrogen,Leaf blight complex
Meghalaya,Maize,Kharif,June,October,Maturity,Alluvial soil of river basins,Critical at tasseling and silking stages,Zinc sulphate 25kg/ha in deficient soils,Cypermethrin 25EC for stem borer,Crop rotation with legumes,Charcoal rot at maturity
Karnataka,Jowar,Zaid,March,June,Flowering,Red loam soil,Drought tolerant,Urea 80kg/ha,Neem oil,Crop rotation,Grain mold
Nagaland,Rice,Rabi,October,March,Fruiting,Clayey loam soil with good water retention,Flooded fields during growing season with 5-10cm standing water,Zinc sulphate 25kg/ha in deficient soils,Tricyclazole 75WP for blast disease,Crop rotation with pulses to fix nitrogen,Brown spot causing yield reduction
Assam,Jute,Rabi,October,February,Vegetative,Alluvial soil of river basins,High rainfall crop 150-200cm,Potash 40kg/ha,Neem-based sprays,FYM 10 tons/ha,Root rot
Odisha,Rice,Zaid,March,June,Fruiting,Alluvial soil rich in organic matter,Alternate wetting and drying to save 25-30% water,DAP 18-46-0 100kg/ha as basal,Cartap hydrochloride 50SP for BPH and WBPH,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Blast disease affecting leaves and panicles
Odisha,Vegetables,Zaid,March,June,Maturity,Alluvial soil rich in organic matter,Moderate frequent irrigation,NPK 100:60:60 kg/ha,Neem oil for aphids,Vermicompost,Damping off
Goa,Fruits,Kharif,July,September,Maturity,Red loam and alluvial soil,Moderate irrigation,FYM 20-25 kg/tree,Chlorpyrifos for fruit flies,Pruning,Fruit rot
Gujarat,Wheat,Kharif,June,October,Flowering,Clay loam in irrigated areas,Moderate requirement 45-65cm through season,DAP 120kg/ha at sowing time,Quinalphos 25EC for termite prevention,Crop rotation with legumes for nitrogen,Karnal bunt quarantine disease
